*,
0,1
1,"Aku: ¡Buenos Dias! Mi nombre es Aku, en breve partire hacia mi aventura, que tienes para ofrecerme mercader, solo poseo estos cristales para entregarte. (pone sobre la mesa unos cristales de Luz Lunar)"
2,Mercader: Oh! ¡Pero si son cristales de Luz Lunar! (elevó su voz)
1,"Aku: Ah, si?"
2,"Mercader: (empieza a tocarse los bolsillos) elige lo que desees de la tienda, lo que puedo proveerte te ayudara en tu aventura! (asegura alegre)."
1,Aku: Muchas Gracias!! (Sonrie alegre)
,
*,
1,
3,Guardian: (completamente dormido) Zzzz…
1,Aku: O - oye! Con permiso.
3,Guardian: Zzz- - - eh.. eh ¿Quién anda ahí?
1,Aku: (mira sorprendido y un poco risueño)
3,"Guardián: (salta del susto) Pe - pero si es Aku! (se pone en posición firme, como un soldado) ¿Ya emprendes hacia tu aventura? (preguntó tímidamente)"
1,Aku: Si! Ya estoy listo
3,Guardian: Mucha suerte Aku!
,
*,
2,
1,"Aku: Buenos días, señor herrero. Mi nombre es Aku! Pasaba a visitarlo antes de emprender mi camino hacia mi futura aventura. "
4,"Herrero: (Observa a Aku con detenimiento) Buenos días, joven. ¿En que puedo ayudarte?"
1,"Aku: Emprendo un viaje a los Viejos Bosques, un lugar lleno de peligros y criaturas fantásticas. Tu crees que mi espada sirva de algo?"
4,"Herrero: (Asiente con la cabeza) Entiendo. Los Viejos Bosques es un lugar temido, incluso por los guerreros más experimentados. La espada que ahora cargas es perfecta para defenderte de los peligros que te acecharan! Espera esa espada era de tu abuelo! la reconoceria donde sea"
1,"Aku: Si su nombre era Kiato, el cuido de mi siempre y me la regalo para cuando llegara el momento de salir al mundo!."
4,"Herrero: (Sonríe) Oh, joven Aku que felicidad me da verte bien y sobre todo ver esta magnifica espada recuperar sus dias de gloria! Sal al  mundo y conquistalo. "
,
*,
3,
0,"(Aku pasea por el bullicioso mercado de su pueblo sin rumbo, proximo a el, un tendero regordete lo saluda con una sonrisa, buscando ofrecerle algo llamativo)"
5,"Tendero: ¡Bienvenido a mi tienda, joven aventurero! ¿En qué puedo ayudarte?"
1,"Aku: Busco informacion para mi viaje a los Viejos Bosques. Un lugar salvaje y desconocido, donde todos los recursos escasean."
5,"Tendero: (Frotándose las manos con entusiasmo) ¡Ah, Los Viejos Bosques! Un lugar lleno de misterios y peligros. No te preocupes, tengo todo lo que necesitas para sobrevivir en tu travesía."
1,Aku: Me alegro de escucharlo! Gracias por ayudarme. 
5,"Tendero: (Comienza a llenar una bolsa con los productos que Aku solicita) ¡No hay problema, estoy para ayudar! Además, te recomiendo llevar algunas elementos extras para que no te falte nada. "
1,Aku: Buena idea. ¿Tiene algo más que me pueda ser útil?
5,"Tendero: (Le muestra un mapa antiguo) Mira este mapa, joven Aku. Aunque los Viejos Bosques pueden ser un lugar poco conocido, este mapa te ayudará a orientarte y evitar algunos peligros."
1,Aku: (Examina el mapa con atención) ¡Es perfecto! Muchas gracias por su ayuda!!!
5,"Tendero: (Sonríe) No hay de qué, joven aventurero. Espero que tengas un viaje seguro y exitoso. Y recuerda, si necesitas algo más en tu regreso, no dudes en visitarme.(rie abiertamente)"